skill,jobs,certifications,youtube_channels,ebooks,websites
Python,"Software Developer, Data Scientist, Machine Learning Engineer, Backend Developer, DevOps Engineer","AWS Certified Developer, Python Institute Certification (PCEP/PCAP), Google Professional Certificate in Python Programming, Python for Data Science Specialization","Corey Schafer, Tech With Tim, sentdex, CS Dojo, Python Engineer","Automate the Boring Stuff with Python, Python Crash Course, Fluent Python, Python Cookbook, Learning Python","https://docs.python.org, https://realpython.com, https://python.org, https://learnpython.org, https://pythontutor.com"
JavaScript,"Front-end Developer, Full Stack Developer, UI Developer, Web Application Developer, Node.js Developer","JavaScript Institute Certification, Microsoft Certified: JavaScript Developer, freeCodeCamp JavaScript Certification, Udemy JavaScript Certification","Traversy Media, The Net Ninja, Web Dev Simplified, Academind, Coding Train","Eloquent JavaScript, You Don't Know JS, JavaScript: The Good Parts, JavaScript: The Definitive Guide, Understanding ECMAScript 6","https://developer.mozilla.org/en-US/docs/Web/JavaScript, https://javascript.info, https://www.w3schools.com/js/, https://nodejs.org, https://reactjs.org"
Java,"Software Engineer, Android Developer, Backend Developer, Application Developer, Systems Analyst","Oracle Certified Professional: Java Developer, Oracle Certified Associate: Java Programmer, Java EE Developer Certification, Spring Professional Certification","Programming with Mosh, Java Brains, in28minutes, Derek Banas, Cave of Programming","Effective Java, Java: The Complete Reference, Head First Java, Modern Java in Action, Core Java","https://docs.oracle.com/javase/, https://www.baeldung.com, https://spring.io, https://www.javaworld.com, https://dev.java"
Data Analysis,"Data Analyst, Business Intelligence Analyst, Market Research Analyst, Operations Analyst, Financial Analyst","Google Data Analytics Professional Certificate, Microsoft Certified: Data Analyst Associate, Tableau Desktop Specialist, IBM Data Analyst Professional Certificate","Alex The Analyst, Data Professor, StatQuest with Josh Starmer, Luke Barousse, Ken Jee","Storytelling with Data, Data Science for Business, Practical Statistics for Data Scientists, Python for Data Analysis, R for Data Science","https://www.kaggle.com, https://www.datacamp.com, https://www.tableau.com, https://powerbi.microsoft.com, https://www.analyticsvidhya.com"
Machine Learning,"Machine Learning Engineer, AI Specialist, Data Scientist, Research Scientist, Computer Vision Engineer","TensorFlow Developer Certificate, AWS Machine Learning Specialty, Google Professional Machine Learning Engineer, IBM AI Engineering Professional Certificate","Sentdex, 3Blue1Brown, Krish Naik, DeepLearning.AI, Yannic Kilcher","Hands-On Machine Learning with Scikit-Learn and TensorFlow, Deep Learning by Ian Goodfellow, Pattern Recognition and Machine Learning, The Hundred-Page Machine Learning Book, Machine Learning Yearning","https://www.tensorflow.org, https://pytorch.org, https://scikit-learn.org, https://www.fast.ai, https://paperswithcode.com"
Web Design,"Web Designer, UI Designer, Front-end Developer, UX/UI Designer, Digital Designer","Adobe Certified Professional in Web Design, Google UX Design Professional Certificate, Certified Web Professional Web Designer, Webflow Certification","DesignCourse, Jesse Showalter, Flux, The Futur, Coding Tech","Don't Make Me Think, HTML and CSS: Design and Build Websites, Responsive Web Design with HTML5 and CSS3, Web Design with HTML, CSS, JavaScript and jQuery Set, Learning Web Design","https://www.figma.com, https://www.webflow.com, https://www.awwwards.com, https://www.smashingmagazine.com, https://css-tricks.com"
Digital Marketing,"Digital Marketing Specialist, SEO Specialist, Social Media Manager, Content Marketing Manager, PPC Specialist","Google Digital Marketing Certification, Facebook Blueprint Certification, HubSpot Inbound Marketing Certification, Google Analytics Individual Qualification, Semrush SEO Certification","Neil Patel, Ahrefs, Miles Beckler, Income School, Surfside PPC","Digital Marketing For Dummies, Permission Marketing, Contagious: How to Build Word of Mouth in the Digital Age, This is Marketing, Building a StoryBrand","https://www.semrush.com, https://ahrefs.com, https://ads.google.com, https://analytics.google.com, https://www.hubspot.com"
Graphic Design,"Graphic Designer, Art Director, Brand Identity Designer, Production Artist, UI Designer","Adobe Certified Professional in Graphic Design, Certified Graphic Designer (CGD), Autodesk Certified Professional: AutoCAD, Affinity Designer Certification, Canva Certified Creative","The Futur, GCFLearnFree.org, Gareth David Studio, Satori Graphics, Will Paterson","Logo Design Love, Thinking with Type, How to be a Graphic Designer Without Losing Your Soul, The Non-Designer's Design Book, Grid Systems in Graphic Design","https://www.behance.net, https://dribbble.com, https://www.canva.com, https://color.adobe.com, https://coolors.co"
Cybersecurity,"Cybersecurity Analyst, Security Engineer, Information Security Analyst, Penetration Tester, Security Consultant","Certified Information Systems Security Professional (CISSP), Certified Ethical Hacker (CEH), CompTIA Security+, Certified Information Security Manager (CISM), Offensive Security Certified Professional (OSCP)","John Hammond, David Bombal, NetworkChuck, The Cyber Mentor, Null Byte","The Art of Invisibility, Social Engineering: The Science of Human Hacking, Practical Malware Analysis, Blue Team Field Manual, Red Team Field Manual","https://www.kali.org, https://www.hackthebox.com, https://tryhackme.com, https://www.sans.org, https://www.offensive-security.com"
Cloud Computing,"Cloud Solutions Architect, Cloud Engineer, DevOps Engineer, Systems Engineer, Cloud Administrator","AWS Certified Solutions Architect, Microsoft Certified: Azure Administrator, Google Cloud Professional Cloud Architect, CompTIA Cloud+, Kubernetes Certified Administrator","freeCodeCamp.org, TechWorld with Nana, ExamPro, A Cloud Guru, Cloud Advocate","Cloud Native Infrastructure, The Phoenix Project, Cloud Computing: Concepts, Technology & Architecture, AWS Certified Solutions Architect Study Guide, Infrastructure as Code","https://aws.amazon.com, https://azure.microsoft.com, https://cloud.google.com, https://kubernetes.io, https://www.docker.com"
Project Management,"Project Manager, Program Manager, Scrum Master, Project Coordinator, Agile Coach","Project Management Professional (PMP), Certified ScrumMaster (CSM), PRINCE2 Certification, PMI Agile Certified Practitioner (PMI-ACP), Certified Associate in Project Management (CAPM)","Project Management Videos, PM PrepCast, iZenBridge, Agile with Jimmy, PM by PM","Project Management Absolute Beginner's Guide, Scrum: The Art of Doing Twice the Work in Half the Time, The Goal, Agile Practice Guide, Drive","https://www.pmi.org, https://www.scrumalliance.org, https://www.atlassian.com/software/jira, https://asana.com, https://trello.com"
SQL,"Database Administrator, Data Analyst, Business Intelligence Developer, Database Developer, Data Engineer","Microsoft Certified: Azure Database Administrator, Oracle Database SQL Certified Associate, MySQL Database Administrator, MongoDB Certified DBA, IBM Certified Database Administrator","Programming with Mosh, Wise Owl Tutorials, freeCodeCamp.org, Socratica, Caleb Curry","SQL Cookbook, Learning SQL, SQL in 10 Minutes a Day, SQL Performance Explained, SQL: The Ultimate Beginner's Guide","https://www.w3schools.com/sql/, https://mode.com/sql-tutorial/, https://www.sqlitetutorial.net, https://www.mysqltutorial.org, https://sqlbolt.com"
